country,Rank,Happiness Score,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate),"GINI index (World Bank estimate), average 2000-15","gini of household income reported in Gallup, by wp5-year"
Tajikistan,116,4.38,4.496571541,7.751204014,0.7285909057,62.10417557,0.749034524,-0.07146219909,0.7170977592,0.7144603133,0.1981913298,0.9215180278,-1.33163166,-1.102040648,1.14977777,0.2557009757,0.305,0.31875,0.360984385
Haiti,117,4.341,4.413475037,7.368234158,0.7486627102,52.02882004,0.4824858606,0.2925466001,0.7171663642,0.593434155,0.2838064134,0.3673265278,-0.775418222,-1.287150621,1.783457279,0.404093653,0.409,0.409,0.4072239995
Armenia,118,4.316,4.319711685,8.924141884,0.6764464378,64.25839233,0.5018637776,-0.2028696537,0.8925443888,0.5178629756,0.4638554454,0.2853623033,-0.2078482211,-0.1746587157,2.257862568,0.5226882696,0.305,0.3250666667,0.4206899703
Congo (Brazzaville),119,4.297,3.919341803,8.570007324,0.6223303676,52.6687088,0.772510767,-0.1473674029,0.7996537089,0.5642199516,0.3225829601,0.5419326425,-0.8224115968,-1.221892476,2.118503332,0.5405252576,,0.481,0.6000138521
Egypt,120,4.273,4.204156876,9.192422867,0.7366451025,60.76647949,0.4515433609,-0.1469380707,0.8803830743,0.5272213817,0.3984230161,0.6019011736,-1.100696564,-0.5885275006,2.045084953,0.4864435494,0.298,0.3122,0.3988240957
Burkina Faso,121,4.259,3.95500803,7.327422142,0.7437657714,50.25502396,0.6218487024,-0.05704825744,0.7262868881,0.5448514223,0.2997229397,0.617090106,-0.4390500486,-0.4146332145,1.758125663,0.4445315003,,0.3946666667,0.5504024029
Mali,122,4.247,4.313016891,7.498283863,0.8234350681,47.2441597,0.7042192817,-0.08291771263,0.786719501,0.68075037,0.1094475016,0.4864379168,-1.264929414,-0.7260406613,2.043205023,0.4737298787,,0.3726666667,0.4603742659
Georgia,123,4.187,4.254445553,8.972251892,0.5325864553,63.7734642,0.65872401,-0.2544491887,0.3208875954,0.5591539145,0.2500878572,0.6108416319,-0.3294366002,0.4215568304,1.958423615,0.460324049,0.413,0.4034375,0.4627374113
Nepal,124,4.156,4.233244896,7.651288509,0.733602345,59.63160324,0.6377784014,0.08105196804,0.8834940195,0.7360829115,0.2310708016,0.4397999346,-1.011797905,-0.83282125,1.778289437,0.4200771451,,0.383,0.4548867345
Niger,125,4.152,3.798088312,6.759936333,0.7001075745,49.29681778,0.7344309092,-0.04501057044,0.777340889,0.6025446653,0.1415530443,0.5345283747,-0.7163792253,-0.6416733861,1.313709259,0.3458869755,,0.368,0.5062547922
Sri Lanka,126,4.151,4.224593163,9.208340645,0.8243572712,64.58774567,0.8003972173,0.1530346125,0.822879076,0.8638803363,0.1968708336,0.777017355,-0.6461792588,-0.1697930098,1.813476205,0.4292664826,0.392,0.39225,0.3789272606
Gabon,127,4.114,3.97205925,9.690262794,0.7360961437,54.93886566,0.5659658313,-0.2155151367,0.8101196885,0.4699985087,0.2657430768,0.3647176623,-0.2851576209,-0.6663925648,2.019146442,0.5083374381,,0.422,0.6073435545
Malawi,128,4.113,4.279269695,6.946744442,0.6037256718,50.69045258,0.6373627186,0.165935576,0.8857849836,0.8156164289,0.2004629225,0.4718101919,-0.1043852717,-0.4680004716,2.840632677,0.6638125181,,0.43,0.6643068194
Cambodia,129,4.067,3.898706913,7.939874172,0.6055285931,57.04125977,0.9555957913,0.2471164465,0.8901361227,0.8204613328,0.3518585861,0.82517308,-0.5325285196,-0.8017514348,1.701752067,0.4364914,,,0.6628337502
Chad,130,4.056,4.03297472,7.582166672,0.6728664637,44.23704529,0.562908113,-0.04432886466,0.8844758272,0.5265463591,0.3157471418,0.3027713299,-1.19343245,-1.335223913,1.579964519,0.3917615712,,0.4155,0.5466051102
Yemen,131,4.054,4.060600758,8.241021156,0.6816782951,54.02817154,0.7058153152,-0.1778098792,0.793232739,0.5017756224,0.2628165781,0.5984346867,-1.892754555,-1.119487524,2.228804588,0.5488854051,,0.357,0.4158915579
Afghanistan,132,4.04,3.782937527,7.517126083,0.5206367373,50.70926285,0.5309350491,0.2471592426,0.7756198049,0.7103847265,0.2679191232,0.4354401529,-1.842995763,-1.40407753,1.798283219,0.4753668904,,,0.3445396125
Bulgaria,133,3.981,4.222297192,9.665990829,0.8379666209,66.28061676,0.6412564516,-0.1774509847,0.9382086992,0.5730912089,0.2366328239,0.3429228067,0.3903747797,0.09802100807,2.167435169,0.5133308172,0.36,0.3546666667,0.3946333528
Botswana,134,3.97,4.835938931,9.564126015,0.8367431164,53.29683685,0.799410224,-0.212750569,0.8144228458,0.7733638883,0.1712573618,0.6622377634,0.8185055852,0.6723254919,1.992194295,0.4119560421,,0.626,0.5814531446
Madagascar,135,3.966,3.550609589,7.223259449,0.6730883121,55.21408844,0.4870078862,-0.04727784917,0.8535904884,0.6898556948,0.1939774156,0.3500553966,-0.7097038031,-0.8059148788,1.54313612,0.4346115887,0.427,0.431,0.5365642309
Senegal,136,3.959,3.668736935,7.690368176,0.7110773921,56.10480118,0.6682522893,-0.02216407284,0.8518798947,0.7709184885,0.2136028409,0.6451075077,-0.05625558272,-0.2727128267,1.70377624,0.4644040465,,0.4023333333,0.4524689913
Syria,137,3.892,3.164491177,8.609065056,0.5883951783,61.47408295,0.4667706192,0.30370754,0.6729642153,0.4644385874,0.7045896649,,-2.26324749,-1.25451839,2.508209467,0.7926106453,,0.358,0.4589469731
Comoros,138,3.851,3.955640316,7.259981155,0.7192178965,53.49705887,0.5340409279,-0.06955273449,0.6510092616,0.6122413278,0.2118438184,0.4648626447,-0.459228456,-1.185267329,1.385449886,0.3502466679,,0.5045,0.4288643897
Guinea,139,3.847,3.651554823,7.429011345,0.5422952771,48.79819107,0.6461878419,0.01155864913,0.7944502234,0.6772125959,0.2845733762,0.5571724772,-1.150450587,-1.184596658,1.659664035,0.4545088708,0.337,0.387,0.5044803023
Tanzania,140,3.77,4.006897449,7.708782673,0.8320564032,53.2678566,0.5774533153,0.2065472305,0.8869979382,0.6788284183,0.1953071058,0.4146451056,-0.06227970123,-0.5925919414,1.915126324,0.4779573977,,0.3846666667,0.5385729074
Rwanda,141,3.715,3.333047867,7.318346977,0.6371472478,54.86077881,0.8354913592,-0.0051281536,0.08132489771,0.7027943134,0.1323981434,,-0.7541358471,0.03455556184,1.542425513,0.4627672732,,0.5055,0.6166507602
Benin,142,3.528,3.193468809,7.526094437,0.5230273008,50.67614746,0.7689710855,-0.08535829931,0.8059776425,0.5825242996,0.2306645364,0.5820804834,0.2444265336,-0.5840241313,1.640371084,0.5136643648,,0.4326666667,0.4950511456
